,game,cheapshark id,sale price,reg price,percent savings,critic score,rating disposition,steam rating,steam num reviews,deal rating
0,naruto to boruto shinobi striker - deluxe edition,189692,11.99,79.98,85,0,none,0,0,10.0
1,ni no kuni ii: revenant kingdom - the prince's edition,171780,11.99,79.98,85,0,none,0,0,10.0
2,project cars 2 - deluxe edition,170776,13.49,89.99,85,0,none,0,0,10.0
3,dragon ball fighter z  fighterz edition,174472,14.24,94.98,85,0,none,0,0,10.0
4,dragon ball fighter z  ultimate edition,174473,16.49,109.97,85,0,none,0,0,10.0
5,naruto to boruto shinobi striker - deluxe edition,189692,12.79,79.98,84,0,none,0,0,10.0
6,one piece burning blood gold edition,157072,11.99,74.98,84,0,none,0,0,10.0
7,ni no kuni ii: revenant kingdom - the prince's edition,171780,12.79,79.99,84,0,none,0,0,9.9
8,project cars 2 - deluxe edition,170776,14.39,89.99,84,0,none,0,0,9.9
9,dragon ball fighter z  fighterz edition,174472,15.19,94.98,84,0,none,0,0,9.8
10,tekken 7 ultimate edition,192149,19.49,89.99,78,0,none,0,0,9.8
11,homeworld remastered collection,141243,3.49,34.99,90,86,very positive,88,7290,9.8
12,dragon ball fighter z  ultimate edition,174473,17.59,109.97,84,0,none,0,0,9.7
13,dark souls iii deluxe edition,149981,19.99,84.98,76,0,very positive,93,142105,9.6
14,the witcher 2: assassins of kings enhanced edition,5572,2.99,19.99,85,88,very positive,89,51810,9.6
15,soulcalibur vi deluxe edition,191458,21.49,89.99,76,0,none,0,0,9.5
16,jump force - deluxe edition,195192,21.49,89.99,76,0,none,0,0,9.5
17,the survios collection,215215,29.32,149.95,80,0,none,0,0,9.5
18,zombie night terror,154629,1.29,12.99,90,81,very positive,93,1628,9.5
19,the witcher: enhanced edition director's cut,188,1.49,9.99,85,86,very positive,88,47909,9.5
20,felix the reaper,206344,2.99,24.99,88,71,very positive,87,88,9.5
21,deus ex: human revolution - director's cut,102249,2.99,19.99,85,91,very positive,91,15921,9.5
22,robin hood: the legend of sherwood,231,0.79,7.99,90,80,mixed,60,754,9.5
23,candle,155405,1.49,14.99,90,80,very positive,80,477,9.4
24,jump force - ultimate edition,195191,23.99,99.99,76,0,none,0,0,9.4
25,we happy few digital deluxe edition,191733,18.82,87.97,79,0,none,0,0,9.4
26,far cry 5 gold edition,169242,17.99,89.99,80,0,none,0,0,9.4
27,return to mysterious island,3394,0.79,7.99,90,79,mostly positive,79,208,9.4
28,bad dream: coma,177327,0.89,8.99,90,79,very positive,91,1070,9.4
29,metro 2033 redux,109746,3.0,19.99,85,90,very positive,85,42020,9.4
30,memoria,101345,1.99,19.99,90,79,very positive,90,1484,9.3
31,far cry 5 and far cry new dawn deluxe edition bundle,198630,19.99,99.99,80,0,none,0,0,9.3
32,thief: deadly shadows,396,0.98,8.99,89,85,very positive,82,1538,9.3
33,just cause 2,180,1.49,14.99,90,84,very positive,90,33534,9.3
34,thief ii: the metal age,87640,0.97,6.99,86,87,very positive,93,1084,9.2
35,homeworld: deserts of kharak,147543,4.99,49.99,90,79,very positive,81,4414,9.2
36,chariot,137348,1.49,14.99,90,76,very positive,82,173,9.2
37,shadow tactics: blades of the shogun,158443,5.99,39.99,85,85,overwhelmingly positive,96,16177,9.2
38,still life,472,0.79,7.99,90,75,very positive,82,532,9.2
39,raw data,154911,6.8,39.99,83,87,very positive,84,1884,9.2
40,dungeon siege,192,0.97,6.99,86,86,mostly positive,78,2116,9.2
41,we are the dwarves,150371,0.74,14.99,95,60,mostly positive,70,498,9.2
42,tomb raider: anniversary,456,0.98,8.99,89,83,very positive,82,3159,9.1
43,deponia,88328,0.99,9.99,90,74,very positive,88,7262,9.1
44,edna and harvey: harvey's new eyes,93463,1.99,19.99,90,75,very positive,89,1736,9.1
45,the dark eye: chains of satinav,87946,1.99,19.99,90,75,very positive,86,1414,9.1
46,the night of the rabbit,97671,1.99,19.99,90,75,very positive,90,1861,9.1
47,we happy few digital deluxe edition,191733,21.09,87.97,76,0,none,0,0,9.1
48,blackguards 2,140070,1.49,14.99,90,74,mixed,63,615,9.1
49,yesterday origins,157512,1.49,14.99,90,74,very positive,82,260,9.1
50,battletech mercenary collection,193595,21.59,89.99,76,0,none,0,0,9.1
51,anna's quest,144487,1.99,19.99,90,74,very positive,87,987,9.1
52,rage jump,220795,1.69,16.99,90,0,none,0,0,9.1
53,dragon ball fighterz,174454,8.99,59.99,85,85,very positive,88,20173,9.1
54,far cry 5 gold edition and far cry new dawn deluxe edition bundle,198638,25.99,129.99,80,0,none,0,0,9.1
55,the last tinker: city of colors,108708,0.99,9.99,90,72,mostly positive,77,544,9.0
56,a new beginning - final cut,94063,0.99,9.99,90,72,mostly positive,74,1088,9.0
57,hard reset redux,153146,1.99,19.99,90,73,very positive,81,1160,9.0
58,hard west,146570,1.99,19.99,90,73,mostly positive,77,2890,9.0
59,cities in motion 1 and 2 collection,109242,21.24,84.99,75,0,none,0,0,9.0
